comercializadora;tarifa;kwh_anuales;coste_energia_anual;coste_potencia_anual;coste_total_anual;coste_medio_eur_kwh;ref_mediana_coste_total_anual;ref_peor_coste_total_anual;ahorro_vs_mediana_eur_anual;ahorro_vs_peor_eur_anual;ahorro_vs_mediana_pct_anual;ahorro_vs_peor_pct_anual;pct_coste_energia_anual;pct_coste_potencia_anual;kwh_punta_LV;kwh_llano_LV;kwh_valle_LV;kwh_valle_SD;pct_kwh_punta_LV;pct_kwh_llano_LV;pct_kwh_valle_LV;pct_kwh_valle_SD
Naturgz;Tarifa por Uso;3593,879;639,71;209,0751;848,7852;0,2362;711,9817;953,7403;-136,8034;104,9552;-19,2145;11,0046;75,3677;24,6323;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Hemios;Cuenta Verde;3593,879;602,6187;250,3159;852,9346;0,2373;711,9817;953,7403;-140,9528;100,8058;-19,7973;10,5695;70,6524;29,3476;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
TotamEnergies;Plan Vehículo Eléctrico;3593,879;615,6172;247,0084;862,6256;0,24;711,9817;953,7403;-150,6439;91,1147;-21,1584;9,5534;71,3655;28,6345;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Euskaltel (E.Colectova);Tarifa Fija;3593,879;602,7374;260,3482;863,0856;0,2402;711,9817;953,7403;-151,1039;90,6547;-21,223;9,5052;69,8352;30,1648;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Sum Energía;2.0TD SOM;3593,879;667,2287;208,2195;875,4482;0,2436;711,9817;953,7403;-163,4664;78,2921;-22,9594;8,209;76,2157;23,7843;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Ibertrola;Batería Virtual;3593,879;660,9052;218,7012;879,6063;0,2448;711,9817;953,7403;-167,6246;74,134;-23,5434;7,773;75,1365;24,8635;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;3 (Unicaja);3593,879;685,5185;194,7761;880,2946;0,2449;711,9817;953,7403;-168,3129;73,4457;-23,6401;7,7008;77,8738;22,1262;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Xekiwi;Solar 2.0;3593,879;667,5142;213,4809;880,9951;0,2451;711,9817;953,7403;-169,0134;72,7452;-23,7384;7,6274;75,7682;24,2318;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Comprenergía;Plan Fin de Semana;3593,879;667,1831;216,2797;883,4627;0,2458;711,9817;953,7403;-171,481;70,2776;-24,085;7,3686;75,5191;24,4809;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Esuabanellpower;Plan Solar;3593,879;637,855;252,3783;890,2333;0,2477;711,9817;953,7403;-178,2515;63,5071;-25,036;6,6587;71,6503;28,3497;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Reqsolnova;Tranquilísima;3593,879;656,2406;246,708;902,9486;0,2512;711,9817;953,7403;-190,9669;50,7917;-26,8219;5,3255;72,6775;27,3225;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Flexi Plus;3593,879;631,6629;271,4397;903,1026;0,2513;711,9817;953,7403;-191,1209;50,6377;-26,8435;5,3094;69,9437;30,0563;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
JosefoEnergia;Tarifa fija;3593,879;691,0369;212,4862;903,523;0,2514;711,9817;953,7403;-191,5413;50,2173;-26,9026;5,2653;76,4825;23,5175;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Tarifa Cristalina Solar con Excedentes;3593,879;694,1892;215,756;909,9451;0,2532;711,9817;953,7403;-197,9634;43,7952;-27,8046;4,5919;76,2891;23,7109;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Pulpus;4 Estaciones 3 Periodos;3593,879;657,9894;261,1646;919,154;0,2558;711,9817;953,7403;-207,1722;34,5864;-29,098;3,6264;71,5864;28,4136;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Relax (Unicaja);3593,879;675,7157;246,9427;922,6585;0,2567;711,9817;953,7403;-210,6767;31,0819;-29,5902;3,2589;73,2357;26,7643;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Plan Mas Ahorro;3593,879;650,2167;274,1344;924,3511;0,2572;711,9817;953,7403;-212,3693;29,3893;-29,8279;3,0815;70,343;29,657;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Ibertrola;Plan Ahorro Inteligente 100;3593,879;659,6278;284,252;943,8798;0,2626;711,9817;953,7403;-231,8981;9,8605;-32,5708;1,0339;69,8847;30,1153;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Naturgz;Comunidades Plan Fijo;3593,879;677,8619;268,5577;946,4195;0,2633;711,9817;953,7403;-234,4378;7,3208;-32,9275;0,7676;71,6238;28,3762;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Eodesa;Tu Casa 50;3593,879;692,671;261,0694;953,7403;0,2654;711,9817;953,7403;-241,7586;0,0;-33,9557;0,0;72,6268;27,3732;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
