comercializadora;tarifa;kwh_anuales;coste_energia_anual;coste_potencia_anual;coste_total_anual;coste_medio_eur_kwh;ref_mediana_coste_total_anual;ref_peor_coste_total_anual;ahorro_vs_mediana_eur_anual;ahorro_vs_peor_eur_anual;ahorro_vs_mediana_pct_anual;ahorro_vs_peor_pct_anual;pct_coste_energia_anual;pct_coste_potencia_anual;kwh_punta_LV;kwh_llano_LV;kwh_valle_LV;kwh_valle_SD;pct_kwh_punta_LV;pct_kwh_llano_LV;pct_kwh_valle_LV;pct_kwh_valle_SD
MIT Energía;Plan Verano;3593,879;318,1926;237,4144;555,607;0,1546;711,9817;953,7403;156,3747;398,1333;21,9633;41,7444;57,2694;42,7306;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Ibertrola;Tarifa Facil (>5kW);3593,879;316,4032;243,0826;559,4858;0,1557;711,9817;953,7403;152,4959;394,2545;21,4185;41,3377;56,5525;43,4475;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Gane;Tarifa luz fija;3593,879;391,0086;177,9623;568,9709;0,1583;711,9817;953,7403;143,0108;384,7694;20,0863;40,3432;68,7221;31,2779;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;OctoGO;3593,879;334,9122;240,6536;575,5658;0,1602;711,9817;953,7403;136,4159;378,1745;19,16;39,6517;58,1883;41,8117;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Xekiwi;César;3593,879;338,7895;245,4144;584,2038;0,1626;711,9817;953,7403;127,7779;369,5365;17,9468;38,746;57,9917;42,0083;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
EOI Plenitude;Tarifa Facil (<5kW);3593,879;385,4787;199,5713;585,05;0,1628;711,9817;953,7403;126,9317;368,6903;17,8279;38,6573;65,8882;34,1118;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Proxime;Tarifa Cristalina Variable;3593,879;330,6335;261,8271;592,4607;0,1649;711,9817;953,7403;119,5211;361,2797;16,7871;37,8803;55,8068;44,1932;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Contigo Energíaa;Formula Variable Precio Coste;3593,879;404,3268;194,1895;598,5162;0,1665;711,9817;953,7403;113,4655;355,2241;15,9366;37,2454;67,5549;32,4451;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Bassoms;Hogar Solar 24h;3593,879;348,3968;253,9676;602,3644;0,1676;711,9817;953,7403;109,6173;351,3759;15,3961;36,8419;57,8382;42,1618;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Comprenergía;Plan Sobre ruedas;3593,879;399,4135;205,2122;604,6257;0,1682;711,9817;953,7403;107,356;349,1146;15,0785;36,6048;66,0596;33,9404;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Ibertrola;Plan Tranquilidad;3593,879;330,9324;277,2605;608,1929;0,1692;711,9817;953,7403;103,7889;345,5475;14,5775;36,2308;54,4124;45,5876;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
EnergiaNufro;Con horarios;3593,879;347,9893;261,6103;609,5996;0,1696;711,9817;953,7403;102,3822;344,1407;14,3799;36,0833;57,0849;42,9151;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Batería Virtual;3593,879;445,9052;166,0077;611,9129;0,1703;711,9817;953,7403;100,0689;341,8275;14,055;35,8407;72,8707;27,1293;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
EnergiaNufro;CALMA;3593,879;412,4159;200,882;613,2979;0,1707;711,9817;953,7403;98,6838;340,4424;13,8604;35,6955;67,2456;32,7544;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Energía VMnova;Simple 24h;3593,879;424,2332;195,8906;620,1238;0,1725;711,9817;953,7403;91,8579;333,6165;12,9017;34,9798;68,4111;31,5889;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
nibe;Flex;3593,879;416,8405;203,9984;620,8388;0,1727;711,9817;953,7403;91,1429;332,9015;12,8013;34,9048;67,1415;32,8585;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Pulpus;3;3593,879;443,3557;177,569;620,9247;0,1728;711,9817;953,7403;91,057;332,8156;12,7892;34,8958;71,4025;28,5975;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Contigo Energíaa;Horas;3593,879;428,796;194,9229;623,7189;0,1736;711,9817;953,7403;88,2629;330,0214;12,3968;34,6029;68,7483;31,2517;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Ibertrola;Plan Solar Duo;3593,879;341,4986;283,6844;625,183;0,174;711,9817;953,7403;86,7988;328,5574;12,1912;34,4494;54,6238;45,3762;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Xekiwi;Fark;3593,879;361,0008;267,2823;628,283;0,1748;711,9817;953,7403;83,6987;325,4573;11,7557;34,1243;57,4583;42,5417;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Pulpus;CC Mercurio Spock 2025;3593,879;423,6511;206,4312;630,0822;0,1753;711,9817;953,7403;81,8995;323,6581;11,503;33,9357;67,2374;32,7626;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Eodesa;Tempo 3 Periodos;3593,879;458,7236;177,1288;635,8524;0,1769;711,9817;953,7403;76,1294;317,8879;10,6926;33,3307;72,1431;27,8569;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Esuabanellpower;Sin horario;3593,879;422,2677;224,2352;646,5029;0,1799;711,9817;953,7403;65,4788;307,2374;9,1967;32,2139;65,3157;34,6843;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Contigo Energíaa;Mercado;3593,879;481,5557;169,6928;651,2485;0,1812;711,9817;953,7403;60,7333;302,4919;8,5302;31,7164;73,9435;26,0565;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Eodesa;One Luz 3 Periodos;3593,879;455,7966;196,313;652,1096;0,1815;711,9817;953,7403;59,8721;301,6307;8,4092;31,6261;69,8957;30,1043;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Ibertrola;3 Periodos;3593,879;436,5711;220,3603;656,9314;0,1828;711,9817;953,7403;55,0504;296,8089;7,732;31,1205;66,4561;33,5439;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Esuabanellpower;Plan Horario Ahorro;3593,879;396,8992;260,9361;657,8352;0,183;711,9817;953,7403;54,1465;295,9051;7,605;31,0258;60,3341;39,6659;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
nibe;Tres;3593,879;417,2319;243,4944;660,7263;0,1838;711,9817;953,7403;51,2554;293,014;7,199;30,7226;63,1475;36,8525;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Ibertrola;Plan Ilumina Duo Promo;3593,879;424,8245;240,3837;665,2082;0,1851;711,9817;953,7403;46,7735;288,5321;6,5695;30,2527;63,8634;36,1366;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
EOI Plenitude;Tarifa Tendencia luz;3593,879;413,3282;255,4366;668,7649;0,1861;711,9817;953,7403;43,2169;284,9755;6,0699;29,8798;61,8047;38,1953;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Plan Solar;3593,879;454,6855;217,012;671,6975;0,1869;711,9817;953,7403;40,2842;282,0428;5,658;29,5723;67,692;32,308;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Naturgz;Comunidades Plan Franjas;3593,879;426,3786;251,2331;677,6117;0,1885;711,9817;953,7403;34,37;276,1286;4,8274;28,9522;62,9237;37,0763;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Reqsolnova;Solar Precio Fijo;3593,879;420,3797;258,2914;678,6711;0,1888;711,9817;953,7403;33,3106;275,0692;4,6786;28,8411;61,9416;38,0584;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Imahinaplus;Solar + Luz Online;3593,879;490,4436;188,7269;679,1705;0,189;711,9817;953,7403;32,8113;274,5698;4,6084;28,7887;72,2122;27,7878;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
TotamEnergies;A tu Aire Siempre;3593,879;463,2025;224,4139;687,6165;0,1913;711,9817;953,7403;24,3653;266,1239;3,4222;27,9032;67,3635;32,6365;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Clarity Energz;Fija 2025;3593,879;440,0169;253,745;693,7619;0,193;711,9817;953,7403;18,2198;259,9784;2,559;27,2588;63,4248;36,5752;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Energía VMnova;Indexada;3593,879;473,4274;228,8729;702,3002;0,1954;711,9817;953,7403;9,6815;251,4401;1,3598;26,3636;67,411;32,589;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Comprenergía;Plan Noche y Día;3593,879;468,4544;236,8684;705,3229;0,1963;711,9817;953,7403;6,6589;248,4175;0,9353;26,0467;66,417;33,583;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Vosalia;Precio fijo 24 horas;3593,879;487,4196;219,8783;707,2979;0,1968;711,9817;953,7403;4,6839;246,4424;0,6579;25,8396;68,9129;31,0871;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Eodesa;Conecta;3593,879;456,5292;251,2711;707,8003;0,1969;711,9817;953,7403;4,1815;245,94;0,5873;25,7869;64,4997;35,5003;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Flexi;3593,879;461,5914;254,5718;716,1632;0,1993;711,9817;953,7403;-4,1815;237,5771;-0,5873;24,91;64,4534;35,5466;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Precio Indexado;3593,879;462,7034;255,3824;718,0858;0,1998;711,9817;953,7403;-6,104;235,6546;-0,8573;24,7085;64,4357;35,5643;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Ibertrola;Cuenta Sostenible;3593,879;515,7558;207,1597;722,9154;0,2012;711,9817;953,7403;-10,9337;230,8249;-1,5357;24,2021;71,3439;28,6561;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Energía VMnova;Formula Fija 24H;3593,879;518,9594;204,694;723,6534;0,2014;711,9817;953,7403;-11,6717;230,0869;-1,6393;24,1247;71,7138;28,2862;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Gane;Tramos Horarios;3593,879;535,4585;190,6825;726,1409;0,202;711,9817;953,7403;-14,1592;227,5994;-1,9887;23,8639;73,7403;26,2597;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Reqsolnova;Solar BV;3593,879;480,0663;251,3906;731,4569;0,2035;711,9817;953,7403;-19,4752;222,2834;-2,7353;23,3065;65,6315;34,3685;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
EnergiaNufro;Solar;3593,879;557,1499;178,7416;735,8915;0,2048;711,9817;953,7403;-23,9097;217,8489;-3,3582;22,8415;75,7109;24,2891;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Energía VMnova;Tarifa luz por horas;3593,879;541,3858;194,5823;735,9681;0,2048;711,9817;953,7403;-23,9864;217,7722;-3,369;22,8335;73,561;26,439;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Etulado;Milenial;3593,879;571,504;171,0687;742,5727;0,2066;711,9817;953,7403;-30,5909;211,1676;-4,2966;22,141;76,9627;23,0373;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Solar;3593,879;475,4688;270,2584;745,7272;0,2075;711,9817;953,7403;-33,7454;208,0132;-4,7396;21,8103;63,7591;36,2409;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Energía VMnova;Formula Fija 3 Periodos;3593,879;497,5786;249,378;746,9566;0,2078;711,9817;953,7403;-34,9749;206,7837;-4,9123;21,6813;66,6141;33,3859;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Relax;3593,879;501,3133;246,9916;748,3048;0,2082;711,9817;953,7403;-36,3231;205,4355;-5,1017;21,54;66,9932;33,0068;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Imahinaplus;Plan noche y findes Online;3593,879;539,3459;210,6436;749,9895;0,2087;711,9817;953,7403;-38,0077;203,7509;-5,3383;21,3633;71,9138;28,0862;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Sum Energía;Tarifa Indexada;3593,879;520,7947;243,3858;764,1805;0,2126;711,9817;953,7403;-52,1988;189,5598;-7,3315;19,8754;68,1507;31,8493;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
CHC eoergía;Plan Ilumina Promo;3593,879;507,4582;263,6936;771,1518;0,2146;711,9817;953,7403;-59,17;182,5885;-8,3106;19,1445;65,8052;34,1948;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
EsMuz;CC Grinch SEP 2025;3593,879;556,605;218,1707;774,7756;0,2156;711,9817;953,7403;-62,7939;178,9647;-8,8196;18,7645;71,8408;28,1592;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Gactor;FLEX;3593,879;566,6427;212,1878;778,8305;0,2167;711,9817;953,7403;-66,8487;174,9098;-9,3891;18,3394;72,7556;27,2444;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
EOI Plenitude;Tu luz;3593,879;592,7292;188,9813;781,7106;0,2175;711,9817;953,7403;-69,7288;172,0298;-9,7936;18,0374;75,8246;24,1754;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
JosefoEnergia;Tarifa variable;3593,879;547,0653;235,196;782,2613;0,2177;711,9817;953,7403;-70,2796;171,479;-9,871;17,9796;69,9338;30,0662;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Comprenergía;Plan Dinámico;3593,879;545,5825;237,2348;782,8174;0,2178;711,9817;953,7403;-70,8356;170,923;-9,9491;17,9213;69,6947;30,3053;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Xekiwi;Mari Calmen;3593,879;596,5982;187,7174;784,3156;0,2182;711,9817;953,7403;-72,3339;169,4247;-10,1595;17,7642;76,0661;23,9339;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
